timestamp,hour,minute,day,month,dayofweek,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_4,lag_96,lag_672,rolling_mean_4,rolling_std_4,price,load_kw
2025-12-08 00:00:00,0,0,8,12,0,0,0.0,1.0,0.0,1.0,1245.2,2547.48,1502.34,113.55,1515.5500000000004,532.4100256381365,0.25,1013.45
2025-12-08 00:15:00,0,15,8,12,0,0,0.0,1.0,0.0,1.0,1013.45,2238.56,1318.9,298.88,1163.9250000000002,316.3520526776066,0.25,832.06
2025-12-08 00:30:00,0,30,8,12,0,0,0.0,1.0,0.0,1.0,832.06,1564.99,929.1,1009.12,1040.2500000000002,170.262757916508,0.25,1070.29
2025-12-08 00:45:00,0,45,8,12,0,0,0.0,1.0,0.0,1.0,1070.29,1245.2,735.23,1474.65,949.1975000000002,111.30324085579105,0.25,880.99
2025-12-08 01:00:00,1,0,8,12,0,0,0.2588190451025207,0.9659258262890684,0.0,1.0,880.99,1013.45,733.86,1666.33,922.9250000000004,103.18846011062612,0.25,908.36
2025-12-08 01:15:00,1,15,8,12,0,0,0.2588190451025207,0.9659258262890684,0.0,1.0,908.36,832.06,610.35,1734.84,991.0975000000004,112.7792804182968,0.25,1104.75
2025-12-08 01:30:00,1,30,8,12,0,0,0.2588190451025207,0.9659258262890684,0.0,1.0,1104.75,1070.29,716.83,1683.73,970.2900000000004,100.28382953731304,0.25,987.06
2025-12-08 01:45:00,1,45,8,12,0,0,0.2588190451025207,0.9659258262890684,0.0,1.0,987.06,880.99,813.36,1482.56,1069.7175000000002,161.00669393434765,0.25,1278.7
2025-12-08 02:00:00,2,0,8,12,0,0,0.4999999999999999,0.8660254037844387,0.0,1.0,1278.7,908.36,839.66,1301.12,1235.6950000000002,254.36071296487933,0.25,1572.27
2025-12-08 02:15:00,2,15,8,12,0,0,0.4999999999999999,0.8660254037844387,0.0,1.0,1572.27,1104.75,823.24,1130.3,1324.475,255.39407517273165,0.25,1459.87
2025-12-08 02:30:00,2,30,8,12,0,0,0.4999999999999999,0.8660254037844387,0.0,1.0,1459.87,987.06,682.63,1164.33,1342.3525,224.54143468782817,0.25,1058.57
2025-12-08 02:45:00,2,45,8,12,0,0,0.4999999999999999,0.8660254037844387,0.0,1.0,1058.57,1278.7,894.27,1201.65,1296.805,257.7758475239064,0.25,1096.51
2025-12-08 03:00:00,3,0,8,12,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1096.51,1572.27,1205.17,1411.85,1225.8100000000002,185.63004570022704,0.25,1288.29
2025-12-08 03:15:00,3,15,8,12,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1288.29,1459.87,1138.64,1540.19,1158.8375000000003,102.94766287618415,0.25,1191.98
2025-12-08 03:30:00,3,30,8,12,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1191.98,1058.57,1000.96,1264.89,1170.3250000000005,89.74711230267214,0.25,1104.52
2025-12-08 03:45:00,3,45,8,12,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,1104.52,1096.51,1181.62,1030.11,1198.35,75.36382200146436,0.25,1208.61
2025-12-08 04:00:00,4,0,8,12,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,1208.61,1288.29,1284.67,1076.9,1100.2275000000002,143.72927778176782,0.25,895.8
2025-12-08 04:15:00,4,15,8,12,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,895.8,1191.98,1131.3,870.98,1027.6975000000002,154.77193552127602,0.25,901.86
2025-12-08 04:30:00,4,30,8,12,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,901.86,1104.52,986.88,757.14,942.2800000000002,188.7864407207313,0.25,762.85
2025-12-08 04:45:00,4,45,8,12,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,762.85,1208.61,936.27,982.54,857.9100000000002,64.75190241737315,0.25,871.13
